"z","dest","src","probability","transition energy (in eV)"
25,1,8,"3.85518E-06","6.53536E+03"
25,1,9,"5.64148E-06","6.53536E+03"
25,2,3,"3.44712E-05","1.03500E+02"
25,2,4,"1.28601E-04","1.14250E+02"
25,2,6,"4.87964E-04","7.21200E+02"
25,2,7,"7.08545E-04","7.21200E+02"
25,2,8,"1.26141E-06","7.68340E+02"
25,2,9,"1.76201E-06","7.69360E+02"
25,3,5,"3.57611E-03","5.67420E+02"
25,3,7,"7.00762E-06","6.06500E+02"
25,3,8,"8.77713E-04","6.48800E+02"
25,3,10,"6.97162E-05","6.55720E+02"
25,4,5,"3.35628E-03","5.56220E+02"
25,4,6,"3.41908E-06","5.87300E+02"
25,4,7,"3.33848E-06","5.94600E+02"
25,4,8,"7.06575E-05","6.37440E+02"
25,4,9,"7.98014E-04","6.37440E+02"
25,4,10,"6.55745E-05","6.44970E+02"
25,6,8,"1.89409E-06","5.02400E+01"
25,6,10,"1.66869E-07","5.48400E+01"
25,7,10,"5.15039E-08","5.35300E+01"
25,3,30,"1.37650E-10","1.07500E+01"
25,5,30,"1.09171E-05","3.14025E+01"
25,7,30,"1.70041E-06","4.90471E+01"
26,1,3,"1.01391E-01","6.39103E+03"
26,1,4,"1.98621E-01","6.40401E+03"
26,1,6,"1.22111E-02","7.05818E+03"
26,1,7,"2.40042E-02","7.05818E+03"
26,1,8,"6.00794E-06","7.10826E+03"
26,1,9,"8.77226E-06","7.10826E+03"
26,2,3,"2.87212E-05","1.09410E+02"
26,2,4,"1.12411E-04","1.22270E+02"
26,2,6,"5.33553E-04","7.92200E+02"
26,2,7,"7.92105E-04","7.92200E+02"
26,2,8,"1.62101E-06","8.44520E+02"
26,2,9,"2.20171E-06","8.45440E+02"
26,3,5,"4.03768E-03","6.27800E+02"
26,3,7,"9.18115E-06","6.70400E+02"
26,3,8,"1.40199E-03","7.18320E+02"
26,3,10,"8.27386E-05","7.26020E+02"
26,4,5,"3.75953E-03","6.15300E+02"
26,4,6,"4.56623E-06","6.50100E+02"
26,4,7,"4.45063E-06","6.56800E+02"
26,4,8,"1.14991E-04","7.04800E+02"
26,4,9,"1.28521E-03","7.04800E+02"
26,4,10,"7.69576E-05","7.13160E+02"
26,6,8,"3.89240E-06","5.51300E+01"
26,6,10,"3.74790E-07","6.05100E+01"
26,7,8,"3.49259E-07","5.35400E+01"
26,7,9,"3.18269E-06","5.37100E+01"
26,7,10,"1.15860E-07","5.89200E+01"
26,3,30,"2.04719E-10","1.28600E+01"
26,5,30,"1.44183E-05","3.40828E+01"
27,1,3,"1.11220E-01","6.91554E+03"
27,1,4,"2.17470E-01","6.93038E+03"
27,1,6,"1.35020E-02","7.64944E+03"
27,1,7,"2.65130E-02","7.64944E+03"
27,1,8,"8.90651E-06","7.70598E+03"
27,1,9,"1.29740E-05","7.70598E+03"
27,2,3,"2.45119E-05","1.15410E+02"
27,2,4,"1.01089E-04","1.30660E+02"
27,2,6,"5.82787E-04","8.66400E+02"
27,2,7,"8.69745E-04","8.66400E+02"
27,2,8,"1.95629E-06","9.24270E+02"
27,2,9,"2.59669E-06","9.25070E+02"
